Stock,Date,Close
TCO,2025-04-21,10.75
TIP,2025-04-21,18.25
TTA,2025-04-21,9.83
TVT,2025-04-21,15.4
VMD,2025-04-21,16.25
VPB,2025-04-21,16.7
VTP,2025-04-21,98.0
ACB,2025-04-18,24.5
ADS,2025-04-18,7.69
AGR,2025-04-18,15.1
ANV,2025-04-18,15.25
BAF,2025-04-18,32.65
BID,2025-04-18,35.95
CII,2025-04-18,11.95
CKG,2025-04-18,16.2
CSM,2025-04-18,10.95
DPM,2025-04-18,32.9
DXG,2025-04-18,14.25
FPT,2025-04-18,111.6
GEX,2025-04-18,27.5
GVR,2025-04-18,24.5
HCM,2025-04-18,26.05
HHS,2025-04-18,11.0
HTL,2025-04-18,28.0
HVN,2025-04-18,31.0
IJC,2025-04-18,11.65
MBB,2025-04-18,23.25
NKG,2025-04-18,12.05
NTL,2025-04-18,14.25
OCB,2025-04-18,10.6
PDR,2025-04-18,16.4
PLX,2025-04-18,34.0
POW,2025-04-18,12.0
PVT,2025-04-18,21.15
SHB,2025-04-18,12.85
STB,2025-04-18,38.55
SZC,2025-04-18,31.0
TCO,2025-04-18,10.9
TIP,2025-04-18,18.15
TTA,2025-04-18,10.0
TVT,2025-04-18,15.5
VMD,2025-04-18,16.7
VPB,2025-04-18,16.95
VTP,2025-04-18,101.0
ACB,2025-04-17,24.3
ADS,2025-04-17,7.68
AGR,2025-04-17,15.0
ANV,2025-04-17,14.85
BAF,2025-04-17,31.95
BID,2025-04-17,35.85
CII,2025-04-17,11.85
CKG,2025-04-17,16.2
CSM,2025-04-17,10.8
DPM,2025-04-17,32.45
DXG,2025-04-17,14.1
FPT,2025-04-17,109.4
GEX,2025-04-17,26.3
GVR,2025-04-17,24.2
HCM,2025-04-17,25.95
HHS,2025-04-17,11.15
HTL,2025-04-17,27.0
HVN,2025-04-17,32.8
IJC,2025-04-17,11.6
MBB,2025-04-17,23.0
NKG,2025-04-17,11.85
NTL,2025-04-17,14.3
OCB,2025-04-17,10.5
PDR,2025-04-17,16.55
PLX,2025-04-17,33.85
POW,2025-04-17,12.0
PVT,2025-04-17,20.5
SHB,2025-04-17,12.05
STB,2025-04-17,38.3
SZC,2025-04-17,30.7
TCO,2025-04-17,10.9
TIP,2025-04-17,18.0
TTA,2025-04-17,9.9
TVT,2025-04-17,15.0
VMD,2025-04-17,16.6
VPB,2025-04-17,16.55
VTP,2025-04-17,99.0
ACB,2025-04-16,24.3
ADS,2025-04-16,7.5
AGR,2025-04-16,15.05
ANV,2025-04-16,14.8
BAF,2025-04-16,31.5
BID,2025-04-16,36.0
CII,2025-04-16,11.85
CKG,2025-04-16,16.5
CSM,2025-04-16,10.8
DPM,2025-04-16,32.45
DXG,2025-04-16,13.95
FPT,2025-04-16,107.9
GEX,2025-04-16,24.9
GVR,2025-04-16,23.5
HCM,2025-04-16,25.8
HHS,2025-04-16,10.5
HTL,2025-04-16,26.5
HVN,2025-04-16,30.8
IJC,2025-04-16,11.6
MBB,2025-04-16,22.9
NKG,2025-04-16,11.8
NTL,2025-04-16,14.25
OCB,2025-04-16,10.5
PDR,2025-04-16,16.5
PLX,2025-04-16,33.0
POW,2025-04-16,11.9
PVT,2025-04-16,20.4
SHB,2025-04-16,12.0
STB,2025-04-16,38.15
SZC,2025-04-16,29.6
TCO,2025-04-16,10.9
TIP,2025-04-16,18.0
TTA,2025-04-16,9.81
TVT,2025-04-16,15.0
VMD,2025-04-16,16.2
VPB,2025-04-16,16.8
VTP,2025-04-16,100.0
ACB,2025-04-15,24.1
ADS,2025-04-15,7.5
AGR,2025-04-15,15.0
ANV,2025-04-15,15.2
BAF,2025-04-15,31.5
BID,2025-04-15,36.5
CII,2025-04-15,12.05
CKG,2025-04-15,17.25
CSM,2025-04-15,10.8
DPM,2025-04-15,32.75
DXG,2025-04-15,14.0
FPT,2025-04-15,116.0
GEX,2025-04-15,25.15
GVR,2025-04-15,24.4
HCM,2025-04-15,26.6
HHS,2025-04-15,10.5
HTL,2025-04-15,26.1
HVN,2025-04-15,31.9
IJC,2025-04-15,11.5
MBB,2025-04-15,23.0
NKG,2025-04-15,11.8
NTL,2025-04-15,13.35
OCB,2025-04-15,10.55
PDR,2025-04-15,16.5
PLX,2025-04-15,33.6
POW,2025-04-15,11.8
PVT,2025-04-15,21.4
SHB,2025-04-15,11.9
STB,2025-04-15,38.45
SZC,2025-04-15,30.8
TCO,2025-04-15,10.95
TIP,2025-04-15,18.1
TTA,2025-04-15,9.95
TVT,2025-04-15,14.95
VMD,2025-04-15,15.95
VPB,2025-04-15,16.9
VTP,2025-04-15,103.9
ACB,2025-04-14,24.8
ADS,2025-04-14,7.6
AGR,2025-04-14,15.7
ANV,2025-04-14,15.1
BAF,2025-04-14,31.75
BID,2025-04-14,37.0
CII,2025-04-14,12.15
CKG,2025-04-14,16.15
CSM,2025-04-14,11.3
DPM,2025-04-14,33.5
DXG,2025-04-14,14.45
FPT,2025-04-14,118.5
GEX,2025-04-14,24.4
GVR,2025-04-14,26.2
HCM,2025-04-14,27.3
HHS,2025-04-14,10.9
HVN,2025-04-14,31.25
IJC,2025-04-14,11.75
MBB,2025-04-14,23.45
NKG,2025-04-14,12.3
NTL,2025-04-14,14.05
OCB,2025-04-14,10.65
PDR,2025-04-14,17.15
